"","Cruise","segnum","stlin","endlin","lat1","lon1","DateTime1","lat2","lon2","DateTime2","mlat","mlon","mDateTime","dist","year","month","day","mtime","Mode","EffType","avgSpdKt","avgBft"
"lat5",1706,1,12,25,21.1151666666667,-161.481666666667,2017-07-29 06:27:23,21.1230001736434,-161.517983285862,2017-07-29 06:38:53,21.1189826632971,-161.499875816456,2017-07-29 06:33:08,3.8662,2017,7,29,"06:33:08","C","N",10.9,5
"lat11",1706,2,84,245,21.1156666666667,-161.535,2017-07-29 07:58:41,20.9453330525462,-160.868019475776,2017-07-29 11:57:27,21.0341851863635,-161.200236569294,2017-07-29 09:58:04,71.7606,2017,7,29,"09:58:04","C","N",9.75913294506384,6
"lat21",1706,3,254,315,20.9128333333333,-160.856666666667,2017-07-29 12:13:21,20.8826665706479,-160.622848165421,2017-07-29 13:37:19,20.9109925175097,-160.738415914311,2017-07-29 12:55:20,24.8295,2017,7,29,"12:55:20","C","N",9.52646456126556,5.32503472834993
"lat31",1706,4,369,515,20.8705,-160.520666666667,2017-07-29 14:46:47,20.3486652087223,-160.272177749851,2017-07-29 18:15:53,20.6097241203785,-160.403593409628,2017-07-29 16:31:20,64.1668,2017,7,29,"16:31:20","C","N",9.85071041923515,4.58979533631554
"lat4",1706,5,527,550,20.3046666666667,-160.25,2017-07-29 18:33:23,20.2378320039486,-160.217176818619,2017-07-29 18:59:42,20.2712464333679,-160.233635357772,2017-07-29 18:46:32.5,8.1832,2017,7,29,"18:46:32","C","N",10.0243930799421,5
"lat",1706,1,23,141,18.7453333333333,-159.488,2017-07-30 06:42:40,19.0025,-159.912333333333,2017-07-30 09:38:04,18.8685754105622,-159.705869041478,2017-07-30 08:10:22,53.5138,2017,7,30,"08:10:22","C","N",9.92321682007231,5
"lat1",1706,2,145,505,19.0051666666667,-159.907166666667,2017-07-30 09:40:17,19.1506664247848,-158.832172163986,2017-07-30 17:52:31,19.3759030194838,-159.482823908373,2017-07-30 13:46:24,148.1008,2017,7,30,"13:46:24","C","N",9.73525680921133,5.61800558171313
"lat2",1706,3,516,539,19.1415,-158.816666666667,2017-07-30 18:04:00,19.109833170616,-158.732673078521,2017-07-30 18:36:32,19.1258086872127,-158.774600940389,2017-07-30 18:20:16,9.4969,2017,7,30,"18:20:16","C","N",8.8,5
"lat3",1706,4,545,562,19.1025,-158.715,2017-07-30 18:46:04,19.1123334960799,-158.667670330481,2017-07-30 19:04:19,19.0998119035458,-158.690611037033,2017-07-30 18:55:11.5,5.568,2017,7,30,"18:55:11","C","N",9.46540279253029,4
"lat6",1706,1,9,19,19.9753333333333,-156.9435,2017-07-31 06:18:07,19.9768335295514,-156.940672194262,2017-07-31 06:19:13,19.9761034001466,-156.942088222856,2017-07-31 06:18:40,0.3397,2017,7,31,"06:18:40","C","F",9.8,6
"lat12",1706,2,46,131,19.944,-156.914666666667,2017-07-31 06:55:31,20.1305,-156.629333333333,2017-07-31 08:59:59,20.0535560215412,-156.785995075845,2017-07-31 07:57:45,36.9168,2017,7,31,"07:57:45","C","S",9.51354662041861,6
"lat22",1706,3,294,304,20.4586666666667,-155.775833333333,2017-07-31 14:10:06,20.4600000561925,-155.771169439708,2017-07-31 14:11:44,20.4593236226923,-155.773487123232,2017-07-31 14:10:55,0.508,2017,7,31,"14:10:55","C","S",10.3,6
"lat32",1706,4,346,396,20.4525,-155.796666666667,2017-07-31 15:02:37,20.5143335541562,-155.59801109585,2017-07-31 16:10:42,20.483183707855,-155.697307953671,2017-07-31 15:36:39.5,21.8129,2017,7,31,"15:36:39","C","F",10.2837493031831,6
"lat41",1706,5,403,511,20.518,-155.586333333333,2017-07-31 16:16:15,20.6595002097099,-155.156511106768,2017-07-31 18:38:36,20.5878603342436,-155.371166868982,2017-07-31 17:27:25.5,47.4123,2017,7,31,"17:27:25","C","S",10.6164829173677,5.83318814817834
